filename;anime_ids;features
test;62;Strokes,Grade
kanji_order_90b95579-f8f9-4923-bd5d-8698d0dc2eaa.parquet;1619,62;Strokes,Grade,On Ratio with Proper Nouns,Left Entropy,Right Entropy
kanji_order_f09a4aa7-cccc-411a-97b8-842226ecbfc7.parquet;1374,1619;Strokes,Grade,On Ratio with Proper Nouns,Left Entropy,Right Entropy
kanji_order_83952683-ad03-4aa4-8cad-f9921d8024f3.parquet;1374,1619;Strokes,Grade,On Ratio with Proper Nouns
kanji_order_508f6811-34b1-4b7e-a327-2b0219666b56.parquet;1374;Strokes,Grade,On Ratio with Proper Nouns
kanji_order_9df8493f-8d7c-45fb-8b06-76f25e012ac4.parquet;1374,1619,639;Strokes,Grade,On Ratio with Proper Nouns,Left Entropy,Right Entropy
kanji_order_1514a2db-77a0-4f0b-8149-d9963f999494.parquet;1374,1619,639,2031;Strokes,Grade,On Ratio with Proper Nouns,Left Entropy,Right Entropy
kanji_order_d393077e-2ae6-4517-a7dc-046838da6001.parquet;2031;Strokes,Grade
kanji_order_2062ae8c-7fc7-4f20-a95c-6a47062fad38.parquet;1374,1619,639,2031,198,451,1656;Strokes,Grade,On Ratio with Proper Nouns,Left Entropy,Right Entropy
kanji_order_cf77e35c-3ef5-4423-be0f-8f3998913aa4.parquet;2031,1619;Strokes,Grade
kanji_order_0833557e-2edd-4175-8dcc-78c948aa9650.parquet;1619;Strokes,Grade
kanji_order_af88486a-d3f5-42c4-b425-e0e2a49573a6.parquet;1374,1619,639,2031,198,451,1656,62;Strokes,Grade,On Ratio with Proper Nouns,Left Entropy,Right Entropy
